Well;Surface;MD
200R;Top_Georg;2662.4
200R;U1-3_bot;2702.7
210R;Top_Georg;2734.5
210R;U1-3_bot;2779.9
218R;Top_Georg;2735.7
218R;U1-3_bot;2786.4
220R;Top_Georg;2735.1
220R;U1-3_bot;2787.5
221R;Top_Georg;2742.3
221R;U1-3_bot;2794.7
222R;Top_Georg;2725.2
222R;U1-3_bot;2779.1
223R;Top_Georg;2736.8
223R;U1-3_bot;2790.7
226R;Top_Georg;2735.7
233R;Top_Georg;2725.3
548;Top_Georg;2973.6
597;Top_Georg;2850.4
605;Top_Georg;2833.1
610;Top_Georg;2821.5
611;Top_Georg;2981.5
613;Top_Georg;2972.8
614;Top_Georg;2933.8
615;Top_Georg;2998.5
626;Top_Georg;3026.2
629;Top_Georg;2798.5
629;U1-3_bot;2849.2
630;Top_Georg;2739.6
631;Top_Georg;2773
644;Top_Georg;3337.3
644;U1-3_bot;3389.6
645;Top_Georg;3032.6
646;Top_Georg;2878.8
647;Top_Georg;2811
648;Top_Georg;2825.6
660;Top_Georg;3093.3
660;U1-3_bot;3146.6
661;Top_Georg;3097.9
661;U1-3_bot;3149.1
662;Top_Georg;3198.1
662;U1-3_bot;3248.4
663;Top_Georg;3050.5
664;Top_Georg;2975.7
676;Top_Georg;3015.2
676;U1-3_bot;3068.8
677;Top_Georg;2870.2
677;U1-3_bot;2920.2
678;Top_Georg;2977.3
678;U1-3_bot;3027.6
679;Top_Georg;3191.7
679;U1-3_bot;3243.4
680;Top_Georg;3090
690;Top_Georg;2847.4
691;Top_Georg;2890.6
691;U1-3_bot;2943.4
692;Top_Georg;2767.4
692;U1-3_bot;2818.5
693;Top_Georg;2767
693;U1-3_bot;2818.2
694;Top_Georg;2867.7
694;U1-3_bot;2917.2
695;Top_Georg;3080.1
695;U1-3_bot;3130.4
696;Top_Georg;2890.4
704;Top_Georg;2728.6
705;Top_Georg;2865.9
705;U1-3_bot;2919.1
706;Top_Georg;2744.2
706;U1-3_bot;2795.2
707;Top_Georg;2741.5
707;U1-3_bot;2793.3
708;Top_Georg;2836.5
708;U1-3_bot;2888.3
709;Top_Georg;3050.7
709;U1-3_bot;3103.5
710;Top_Georg;2778.7
715;Top_Georg;3111.6
715;U1-3_bot;3165.6
716;Top_Georg;3006
716;U1-3_bot;3058.7
717;Top_Georg;2805
717;U1-3_bot;2857.7
718;Top_Georg;2799.9
718;U1-3_bot;2850.7
719;Top_Georg;2899.6
719;U1-3_bot;2951.1
720;Top_Georg;2925.9
721;Top_Georg;2767.6
725;Top_Georg;2853.9
726;Top_Georg;2824.3
726;U1-3_bot;2877.1
727;Top_Georg;2771.3
727;U1-3_bot;2822
728;Top_Georg;2833.7
728;U1-3_bot;2884.2
729;Top_Georg;2960.7
729;U1-3_bot;3008.9
734;Top_Georg;2746.7
734;U1-3_bot;2799.6
735;Top_Georg;2711.5
735;U1-3_bot;2761.5
736;Top_Georg;2833.4
738;Top_Georg;2747.4
740;Top_Georg;2801.7
740;U1-3_bot;2851
741;Top_Georg;2795.1
741;U1-3_bot;2842.3
743;Top_Georg;3023.6
743;U1-3_bot;3066.2
745;Top_Georg;3091.5
745;U1-3_bot;3140.3
746;Top_Georg;2947.1
746;U1-3_bot;2993.8
746bs;Top_Georg;2947.3
746bs;U1-3_bot;2994.4
752;Top_Georg;2889.4
752;U1-3_bot;2942.7
753;Top_Georg;3480.3
754;Top_Georg;2743.7
754;U1-3_bot;2791.6
756;Top_Georg;2788
756;U1-3_bot;2835.1
757;Top_Georg;3250
757;U1-3_bot;3295.3
758;Top_Georg;2921.7
758;U1-3_bot;2966.8
759;Top_Georg;2836.2
761;Top_Georg;3021.9
761;U1-3_bot;3068.9
762;Top_Georg;2963
762;U1-3_bot;3009.9
763;Top_Georg;2966.2
763;U1-3_bot;3013.3
764;Top_Georg;3097.8
765;Top_Georg;2906.9
767;Top_Georg;3014
767;U1-3_bot;3061.4
768;Top_Georg;2856.4
768;U1-3_bot;2905.7
769;Top_Georg;2787.3
769;U1-3_bot;2835.4
770;Top_Georg;2818.5
770;U1-3_bot;2866.1
771;Top_Georg;3085.4
773;Top_Georg;2724.1
774;Top_Georg;2774.8
774;U1-3_bot;2821.6
775;Top_Georg;2728.6
775;U1-3_bot;2774.4
776;Top_Georg;2753.5
776;U1-3_bot;2801.3
777;Top_Georg;2898
777;U1-3_bot;2947.5
780;Top_Georg;2803.2
780;U1-3_bot;2849.2
781;Top_Georg;2781
781;U1-3_bot;2829.1
782;Top_Georg;2828.1
782;U1-3_bot;2877.4
783;Top_Georg;2970.5
783;U1-3_bot;3021.3
785;Top_Georg;3031.8
785;U1-3_bot;3079.2
786;Top_Georg;2961.4
786;U1-3_bot;3011.3
787;Top_Georg;2980.1
787;U1-3_bot;3032.7
788;Top_Georg;3200.5
788;U1-3_bot;3244.3
789;Top_Georg;3257.2
789;U1-3_bot;3307.4
790;Top_Georg;3193.4
790;U1-3_bot;3246.2
791;Top_Georg;3212.1
791;U1-3_bot;3255.4
792;Top_Georg;2859.5
793;Top_Georg;3259.4
793;U1-3_bot;3307
794;Top_Georg;3544.4
794;U1-3_bot;3593.3
795;Top_Georg;2943.5
795;U1-3_bot;2992
881;Top_Georg;2923.7
883;Top_Georg;2955.8
883;U1-3_bot;2997.2
886;Top_Georg;3164
886;U1-3_bot;3209.7
887;Top_Georg;3164.1
887;U1-3_bot;3206.6
888;Top_Georg;2716.8
889;Top_Georg;2738.3
891;Top_Georg;3473.3
891;U1-3_bot;3517.7
892;Top_Georg;3160.9
892;U1-3_bot;3199.4
893;Top_Georg;2776.4
