X;Y
3.2;0
3.14815;0.11462
3.1;0.17023
3.04815;0.27378
3;0.32202
2.94815;0.40346
2.9;0.44064
2.84815;0.50365
2.8;0.53346
2.74815;0.59647
2.7;0.62259
2.64815;0.67454
2.6;0.69698
2.54815;0.7305
2.5;0.74925
2.44815;0.7754
2.4;0.78677
2.34815;0.82029
2.3;0.83167
2.24815;0.85045
2.2;0.86182
2.14815;0.89534
2.1;0.90672
2.04815;0.9255
2;0.94425
1.94815;0.97408
1.9;0.98914
1.84815;1.02635
1.8;1.04141
1.74815;1.08599
1.7;1.10843
1.64815;1.16038
1.6;1.19387
1.54815;1.35641
1.54815;1.35673
1.6;1.51088
1.64815;1.53636
1.7;1.57288
1.74815;1.58731
1.8;1.62751
1.84815;1.64194
1.9;1.67108
1.94815;1.68919
2;1.71834
2.04815;1.73645
2.1;1.77665
2.14815;1.79108
2.2;1.83128
2.24815;1.84939
2.3;1.89697
2.34815;1.91877
2.4;1.96634
2.44815;1.99551
2.5;2.05046
2.54815;2.07963
2.6;2.13458
2.64815;2.16375
2.7;2.22607
2.74815;2.25524
2.8;2.31756
2.84815;2.34673
2.9;2.41273
2.94815;2.44559
3;2.51528
3.04815;2.54814
3.1;2.6252
3.14815;2.66912
3.2;2.7683
3.24815;2.83433
3.3;2.98512
3.34815;3.06958
3.14815;2.66912
3.2;2.7683
3.24815;2.83433
3.3;2.98512
3.34815;3.06958
